Seed	Class	Mean	Std
91	0	[1.00000000e+00 3.83165292e-22 1.16994725e-13]	[0. 0. 0.]
91	1	[1.64637997e-10 1.00000000e+00 7.03913015e-09]	[1.77252574e-10 0.00000000e+00 8.98194896e-09]
91	2	[0.00710234 0.01240404 0.98049362]	[0.07339195 0.1092076  0.1309719 ]
92	0	[1.00000000e+00 0.00000000e+00 4.97022853e-38]	[0. 0. 0.]
92	1	[0.01466478 0.70604813 0.2792871 ]	[0.10022952 0.45298484 0.4414552 ]
92	2	[0.04765095 0.00801659 0.94433245]	[0.20966171 0.062933   0.21720833]
93	0	[1. 0. 0.]	[0. 0. 0.]
93	1	[0.25615827 0.17658323 0.5672585 ]	[0.40943966 0.3725173  0.47213407]
93	2	[0. 1. 0.]	[0. 0. 0.]
94	0	[1.00000000e+00 3.33451291e-15 5.17337782e-08]	[0. 0. 0.]
94	1	[0. 1. 0.]	[0. 0. 0.]
94	2	[0.14191702 0.09981762 0.75826537]	[0.34696002 0.1657766  0.34708433]
95	0	[1.00000000e+00 0.00000000e+00 5.35232296e-33]	[0. 0. 0.]
95	1	[0. 1. 0.]	[0. 0. 0.]
95	2	[0. 1. 0.]	[0. 0. 0.]
96	0	[1.00000000e+00 1.79236010e-17 1.76436055e-09]	[0. 0. 0.]
96	1	[0.08653583 0.68582128 0.22764289]	[0.27340852 0.45709222 0.41194112]
96	2	[0. 0. 1.]	[0. 0. 0.]
97	0	[1.00000000e+00 9.90349400e-17 7.69036124e-09]	[0. 0. 0.]
97	1	[0.07151413 0.71459186 0.21389401]	[0.2391242  0.44844942 0.3982743 ]
97	2	[0. 1. 0.]	[0. 0. 0.]
98	0	[1.00000000e+00 0.00000000e+00 6.16966652e-35]	[0.00000000e+00 0.00000000e+00 1.82039268e-35]
98	1	[0.01569986 0.59065899 0.39364114]	[0.09913407 0.48690468 0.47826482]
98	2	[0. 1. 0.]	[0. 0. 0.]
99	0	[5.09363366e-01 9.33531297e-05 4.90543284e-01]	[0.49908948 0.0012641  0.49901348]
99	1	[0.00664166 0.6834875  0.30987084]	[0.04963405 0.46328194 0.45643358]
99	2	[0. 0. 1.]	[0. 0. 0.]
